application_id,destination_country,visa_type,nationality,application_date,decision_date,processing_time_days,visa_status,processing_center,biometric_required,interview_required,application_mode
VISA000085,Canada,Work,India,2022-09-09,2022-10-27,48,Approved,Dhaka,Yes,Yes,Offline
VISA000086,Australia,Tourist,China,2023-12-03,2024-02-12,71,Rejected,Dhaka,Yes,Yes,Online
VISA000087,Canada,Student,Nigeria,2022-10-23,2022-12-08,46,Approved,Bengaluru,Yes,Yes,Offline
VISA000088,Australia,Tourist,India,2023-12-26,2024-02-29,65,Approved,Abuja,No,Yes,Online
VISA000089,Canada,Tourist,Brazil,2023-12-21,2024-02-24,65,Approved,Sao Paulo,No,Yes,Online
VISA000090,Canada,Tourist,India,2022-12-04,2023-01-27,54,Approved,Mumbai,Yes,Yes,Online
VISA000091,Canada,Work,Nigeria,2022-02-22,2022-05-07,74,Rejected,Manila,Yes,Yes,Online
VISA000092,Australia,Visiting,Bangladesh,2022-08-05,2022-09-30,56,Approved,Dhaka,No,No,Offline
VISA000093,UK,Student,Bangladesh,2022-07-07,2022-09-12,67,Rejected,Dhaka,Yes,Yes,Online
VISA000094,Canada,Tourist,Nigeria,2023-01-15,2023-03-03,47,Approved,Chennai,Yes,Yes,Online
VISA000095,Australia,Visiting,China,2023-05-08,2023-06-21,44,Approved,Chennai,Yes,Yes,Online
VISA000096,Australia,Visiting,China,2022-02-10,2022-04-16,65,Approved,Beijing,Yes,Yes,Offline
VISA000097,Canada,Work,Bangladesh,2022-06-06,2022-08-06,61,Approved,Sao Paulo,Yes,No,Online
VISA000098,Canada,Student,Bangladesh,2022-01-15,2022-03-14,58,Approved,Chennai,No,Yes,Online
VISA000099,UK,Work,Nigeria,2022-03-06,2022-04-24,49,Approved,Chennai,Yes,No,Online
VISA000100,Australia,Visiting,China,2023-06-05,2023-08-22,78,Rejected,Mumbai,Yes,Yes,Online
VISA000101,Australia,Visiting,Bangladesh,2022-12-10,2023-01-17,38,Approved,Chennai,No,Yes,Online
VISA000102,USA,Visiting,China,2022-05-09,2022-06-15,37,Approved,Manila,Yes,Yes,Offline
VISA000103,Australia,Work,Bangladesh,2023-10-10,2023-12-18,69,Rejected,Mumbai,Yes,Yes,Online
VISA000104,UK,Student,India,2023-04-17,2023-06-23,67,Rejected,Beijing,Yes,Yes,Online
VISA000105,USA,Tourist,Brazil,2022-03-04,2022-05-03,60,Approved,Abuja,Yes,Yes,Online
VISA000106,USA,Work,Philippines,2022-05-19,2022-07-08,50,Approved,Mumbai,Yes,Yes,Online
VISA000107,USA,Visiting,India,2023-05-14,2023-07-15,62,Approved,Abuja,Yes,Yes,Online
VISA000108,Canada,Work,Philippines,2023-08-16,2023-11-04,80,Rejected,Dhaka,Yes,No,Offline
VISA000109,Canada,Visiting,Bangladesh,2023-01-27,2023-04-29,92,Rejected,Beijing,Yes,Yes,Offline
VISA000110,Australia,Tourist,Brazil,2023-11-06,2023-12-06,30,Approved,Beijing,Yes,Yes,Offline
VISA000111,USA,Tourist,Brazil,2023-02-23,2023-04-12,48,Approved,Mumbai,Yes,Yes,Offline
VISA000112,UK,Student,Bangladesh,2022-10-16,2022-12-02,47,Approved,Shanghai,Yes,Yes,Online
VISA000113,Canada,Visiting,Bangladesh,2023-01-14,2023-04-03,79,Rejected,Beijing,Yes,Yes,Online
VISA000114,UK,Student,China,2023-05-05,2023-05-22,17,Approved,Abuja,Yes,No,Online
VISA000115,UK,Student,Bangladesh,2022-08-19,2022-10-20,62,Approved,Beijing,No,No,Online
VISA000116,Canada,Tourist,Nigeria,2022-02-10,2022-04-02,51,Approved,Dhaka,Yes,Yes,Online
VISA000117,Canada,Work,Bangladesh,2022-01-28,2022-04-17,79,Rejected,Manila,Yes,Yes,Online
VISA000118,Canada,Work,Nigeria,2022-05-15,2022-07-31,77,Rejected,Shanghai,No,Yes,Online
VISA000119,Canada,Student,Bangladesh,2022-07-20,2022-09-18,60,Approved,Bengaluru,Yes,No,Offline
VISA000120,USA,Tourist,China,2022-02-02,2022-03-05,31,Approved,Beijing,Yes,Yes,Online
VISA000121,USA,Visiting,Nigeria,2022-02-17,2022-04-04,46,Approved,Chennai,No,Yes,Offline
VISA000122,USA,Work,India,2023-05-18,2023-07-05,48,Approved,Mumbai,No,Yes,Online
VISA000123,USA,Student,Nigeria,2023-02-11,2023-03-18,35,Approved,Mumbai,Yes,No,Online
VISA000124,Australia,Work,China,2023-07-28,2023-10-08,72,Rejected,Mumbai,Yes,Yes,Online
VISA000125,USA,Work,Philippines,2023-12-29,2024-01-31,33,Approved,Sao Paulo,Yes,Yes,Online
VISA000126,Canada,Visiting,Nigeria,2022-04-09,2022-07-02,84,Rejected,Shanghai,No,No,Online
VISA000127,UK,Tourist,Bangladesh,2023-11-15,2024-02-07,84,Rejected,Shanghai,Yes,Yes,Online
VISA000128,USA,Visiting,Bangladesh,2023-12-27,2024-02-14,49,Approved,Abuja,Yes,No,Online
VISA000129,Australia,Tourist,Philippines,2023-07-01,2023-08-29,59,Approved,Beijing,No,Yes,Online
VISA000130,Canada,Work,China,2023-09-05,2023-10-28,53,Approved,Bengaluru,Yes,No,Online
VISA000131,UK,Student,Brazil,2023-04-07,2023-06-14,68,Rejected,Mumbai,No,No,Online
VISA000132,UK,Visiting,Bangladesh,2023-10-05,2023-12-18,74,Rejected,Beijing,Yes,Yes,Online
VISA000133,USA,Tourist,India,2022-01-05,2022-03-04,58,Approved,Shanghai,Yes,No,Online
VISA000134,UK,Work,China,2022-08-06,2022-10-07,62,Approved,Dhaka,Yes,Yes,Online
VISA000135,USA,Tourist,Nigeria,2023-05-18,2023-07-02,45,Approved,Mumbai,No,No,Online
VISA000136,USA,Tourist,Nigeria,2023-02-02,2023-04-04,61,Approved,Beijing,Yes,Yes,Online
VISA000137,Canada,Tourist,India,2023-01-28,2023-03-26,57,Approved,Shanghai,Yes,No,Online
VISA000138,Canada,Work,Bangladesh,2022-07-26,2022-09-05,41,Approved,Manila,Yes,Yes,Offline
VISA000139,Australia,Student,China,2022-01-15,2022-03-10,54,Approved,Shanghai,No,No,Online
VISA000140,Canada,Student,India,2023-07-08,2023-08-26,49,Approved,Chennai,No,Yes,Online
VISA000141,Canada,Student,Bangladesh,2023-04-06,2023-05-21,45,Approved,Sao Paulo,Yes,No,Online
VISA000142,USA,Tourist,China,2023-11-22,2023-12-29,37,Approved,Sao Paulo,Yes,No,Online
VISA000143,Canada,Work,Nigeria,2023-07-29,2023-09-22,55,Approved,Mumbai,No,Yes,Online
VISA000144,USA,Tourist,China,2022-08-29,2022-10-11,43,Approved,Manila,Yes,No,Online
VISA000145,USA,Student,Philippines,2023-07-18,2023-09-03,47,Approved,Manila,Yes,No,Online
VISA000146,Canada,Student,Brazil,2022-04-06,2022-06-16,71,Rejected,Mumbai,Yes,Yes,Online
VISA000147,Australia,Work,China,2023-04-30,2023-07-03,64,Approved,Beijing,No,Yes,Online
VISA000148,Australia,Tourist,Brazil,2023-02-11,2023-03-23,40,Approved,Mumbai,Yes,Yes,Online
VISA000149,UK,Visiting,China,2022-08-19,2022-10-18,60,Approved,Bengaluru,Yes,Yes,Online
VISA000150,UK,Visiting,Brazil,2023-10-17,2023-12-12,56,Approved,Bengaluru,Yes,Yes,Online
VISA000151,Canada,Student,Philippines,2022-06-20,2022-09-08,80,Rejected,Sao Paulo,Yes,Yes,Online
VISA000152,Australia,Work,Nigeria,2023-06-25,2023-09-08,75,Rejected,Shanghai,Yes,Yes,Offline
VISA000153,USA,Tourist,Bangladesh,2022-02-05,2022-03-08,31,Approved,Mumbai,Yes,Yes,Offline
VISA000154,UK,Tourist,Brazil,2023-06-09,2023-08-15,67,Rejected,Mumbai,Yes,Yes,Online
VISA000155,USA,Student,Philippines,2022-06-09,2022-08-21,73,Rejected,Beijing,Yes,No,Online
VISA000156,UK,Student,Brazil,2023-11-30,2024-02-01,63,Approved,Abuja,Yes,No,Online
VISA000157,Canada,Tourist,Nigeria,2022-08-31,2022-10-19,49,Approved,Sao Paulo,No,Yes,Online
VISA000158,Australia,Tourist,Brazil,2022-03-27,2022-06-26,91,Rejected,Sao Paulo,No,No,Offline
VISA000159,UK,Student,Philippines,2023-08-01,2023-10-04,64,Approved,Sao Paulo,No,No,Offline
VISA000160,Australia,Tourist,Philippines,2023-11-13,2024-02-05,84,Rejected,Shanghai,Yes,No,Online
VISA000161,USA,Visiting,India,2023-07-11,2023-09-24,75,Rejected,Dhaka,Yes,Yes,Online
VISA000162,Canada,Student,Nigeria,2023-07-28,2023-09-27,61,Approved,Abuja,Yes,Yes,Online
VISA000163,Australia,Tourist,India,2023-10-08,2023-11-23,46,Approved,Shanghai,No,No,Online
VISA000164,Canada,Student,Nigeria,2022-01-28,2022-03-23,54,Approved,Bengaluru,No,No,Offline
VISA000165,Australia,Work,Brazil,2023-09-12,2023-11-02,51,Approved,Beijing,No,No,Offline
VISA000166,USA,Student,Philippines,2023-07-10,2023-08-15,36,Approved,Bengaluru,Yes,No,Online
VISA000167,USA,Student,India,2022-12-06,2023-02-08,64,Approved,Manila,Yes,Yes,Online
VISA000168,Canada,Work,Brazil,2022-11-27,2023-02-13,78,Rejected,Sao Paulo,Yes,Yes,Online
VISA000169,USA,Visiting,Philippines,2023-10-02,2023-11-21,50,Approved,Chennai,Yes,Yes,Online
VISA000170,UK,Tourist,Nigeria,2023-05-21,2023-08-16,87,Rejected,Sao Paulo,Yes,Yes,Offline
VISA000171,Australia,Work,Philippines,2022-12-14,2023-01-14,31,Approved,Sao Paulo,No,No,Online
VISA000172,USA,Student,Brazil,2023-04-18,2023-06-27,70,Rejected,Beijing,Yes,Yes,Online
VISA000173,UK,Tourist,India,2022-08-19,2022-11-07,80,Rejected,Abuja,Yes,Yes,Online
VISA000174,Canada,Work,India,2022-07-09,2022-08-29,51,Approved,Bengaluru,Yes,No,Offline
VISA000175,UK,Tourist,Philippines,2022-08-13,2022-10-04,52,Approved,Manila,No,Yes,Online
VISA000176,Canada,Tourist,Brazil,2023-01-20,2023-03-31,70,Rejected,Sao Paulo,Yes,No,Offline
VISA000177,Canada,Work,China,2023-01-12,2023-03-15,62,Approved,Mumbai,Yes,No,Offline
VISA000178,Australia,Tourist,Nigeria,2022-10-10,2022-11-04,25,Approved,Dhaka,No,Yes,Offline
VISA000179,Australia,Visiting,Nigeria,2023-09-25,2023-11-06,42,Approved,Mumbai,Yes,Yes,Online
VISA000180,UK,Work,Brazil,2023-09-20,2023-11-13,54,Approved,Mumbai,Yes,Yes,Online
VISA000181,Australia,Visiting,China,2022-09-16,2022-10-20,34,Approved,Beijing,Yes,Yes,Online
VISA000182,Australia,Student,India,2022-12-25,2023-02-10,47,Approved,Chennai,Yes,Yes,Online
VISA000183,Australia,Tourist,Bangladesh,2023-12-11,2024-01-14,34,Approved,Chennai,No,Yes,Online
VISA000184,UK,Student,Bangladesh,2023-04-01,2023-05-20,49,Approved,Bengaluru,No,No,Online
VISA000185,USA,Student,Brazil,2023-02-15,2023-04-05,49,Approved,Chennai,Yes,Yes,Online
VISA000186,Australia,Tourist,China,2023-10-11,2023-12-10,60,Approved,Mumbai,Yes,No,Offline
VISA000187,Australia,Work,China,2022-11-14,2023-01-06,53,Approved,Beijing,Yes,Yes,Online
VISA000188,UK,Tourist,Nigeria,2023-11-08,2024-01-09,62,Approved,Manila,Yes,Yes,Online
VISA000189,USA,Student,India,2022-08-13,2022-10-12,60,Approved,Bengaluru,Yes,No,Offline
VISA000190,Australia,Student,Philippines,2022-08-22,2022-10-31,70,Rejected,Shanghai,Yes,Yes,Offline
VISA000191,Canada,Work,China,2023-11-15,2024-01-22,68,Rejected,Manila,Yes,Yes,Offline
VISA000192,UK,Tourist,Philippines,2023-10-26,2023-12-31,66,Rejected,Abuja,No,No,Online
VISA000193,Australia,Student,Bangladesh,2023-01-09,2023-04-20,101,Rejected,Abuja,Yes,No,Offline
VISA000194,Australia,Visiting,Philippines,2023-11-03,2024-01-02,60,Approved,Abuja,Yes,No,Online
VISA000195,Canada,Student,India,2023-08-31,2023-12-02,93,Rejected,Abuja,Yes,Yes,Online
VISA000196,Canada,Student,India,2023-04-17,2023-06-17,61,Approved,Beijing,No,Yes,Online
VISA000197,UK,Work,Philippines,2022-08-21,2022-10-13,53,Approved,Manila,Yes,No,Online
VISA000198,UK,Visiting,Brazil,2023-11-23,2024-01-11,49,Approved,Sao Paulo,Yes,No,Online
VISA000199,Canada,Student,China,2022-04-23,2022-07-09,77,Rejected,Dhaka,Yes,Yes,Online
VISA000200,UK,Student,Brazil,2023-05-12,2023-07-30,79,Rejected,Bengaluru,No,No,Online
VISA000201,Canada,Visiting,Philippines,2023-03-18,2023-05-20,63,Approved,Shanghai,Yes,Yes,Online
VISA000202,Australia,Tourist,China,2023-07-18,2023-09-28,72,Rejected,Mumbai,No,Yes,Online
VISA000203,Canada,Tourist,Nigeria,2022-09-25,2022-10-30,35,Approved,Abuja,No,Yes,Offline
VISA000204,Canada,Student,Brazil,2023-05-25,2023-06-25,31,Approved,Shanghai,No,Yes,Online
VISA000205,USA,Student,Brazil,2023-01-21,2023-04-04,73,Rejected,Dhaka,Yes,Yes,Online
VISA000206,Canada,Tourist,Philippines,2023-01-22,2023-03-16,53,Approved,Shanghai,Yes,Yes,Online
VISA000207,Canada,Work,Bangladesh,2022-04-23,2022-06-28,66,Rejected,Manila,Yes,Yes,Offline
VISA000208,USA,Visiting,Philippines,2023-09-05,2023-10-19,44,Approved,Shanghai,No,No,Offline
VISA000209,UK,Visiting,Brazil,2023-09-17,2023-12-05,79,Rejected,Abuja,Yes,No,Online
VISA000210,USA,Work,China,2022-03-22,2022-04-22,31,Approved,Dhaka,Yes,No,Online
VISA000211,Australia,Work,Bangladesh,2023-11-30,2024-01-03,34,Approved,Mumbai,Yes,No,Online
VISA000212,USA,Work,Philippines,2022-04-23,2022-07-08,76,Rejected,Sao Paulo,Yes,Yes,Offline
VISA000213,Australia,Work,Philippines,2022-01-02,2022-01-17,15,Approved,Chennai,Yes,Yes,Offline
VISA000214,UK,Work,Brazil,2023-10-04,2023-12-03,60,Approved,Abuja,Yes,No,Offline
VISA000215,USA,Work,Brazil,2022-08-08,2022-09-30,53,Approved,Dhaka,Yes,Yes,Online
VISA000216,USA,Visiting,Nigeria,2023-07-20,2023-09-01,43,Approved,Manila,No,Yes,Online
VISA000217,UK,Work,Philippines,2022-08-13,2022-10-04,52,Approved,Beijing,Yes,Yes,Offline
VISA000218,Australia,Tourist,Brazil,2023-01-20,2023-03-03,42,Approved,Dhaka,Yes,No,Online
VISA000219,USA,Work,India,2023-02-07,2023-04-26,78,Rejected,Chennai,Yes,Yes,Online
VISA000220,Australia,Work,Bangladesh,2023-09-30,2023-12-21,82,Rejected,Chennai,Yes,No,Online
VISA000221,USA,Visiting,India,2022-05-10,2022-06-23,44,Approved,Bengaluru,No,Yes,Offline
VISA000222,Canada,Visiting,Bangladesh,2022-02-22,2022-04-22,59,Approved,Sao Paulo,Yes,No,Online
VISA000223,USA,Work,Philippines,2023-11-15,2023-12-20,35,Approved,Chennai,Yes,No,Online
VISA000224,UK,Visiting,Nigeria,2023-12-31,2024-03-11,71,Rejected,Bengaluru,Yes,No,Online
VISA000225,UK,Student,Brazil,2023-11-03,2024-01-12,70,Rejected,Bengaluru,No,Yes,Offline
VISA000226,Australia,Visiting,Brazil,2023-12-11,2024-01-30,50,Approved,Bengaluru,Yes,Yes,Online
VISA000227,USA,Visiting,Brazil,2023-02-20,2023-04-16,55,Approved,Dhaka,No,No,Online
VISA000228,Australia,Visiting,Philippines,2022-09-04,2022-10-27,53,Approved,Bengaluru,Yes,Yes,Online
VISA000229,Australia,Visiting,Bangladesh,2023-03-15,2023-04-14,30,Approved,Abuja,Yes,Yes,Offline
VISA000230,Canada,Tourist,Brazil,2022-07-22,2022-10-08,78,Rejected,Abuja,Yes,Yes,Offline
VISA000231,Canada,Tourist,India,2022-07-03,2022-08-15,43,Approved,Beijing,No,No,Offline
VISA000232,UK,Tourist,Brazil,2022-05-03,2022-06-15,43,Approved,Chennai,Yes,Yes,Online
VISA000233,Australia,Work,Philippines,2023-02-05,2023-03-29,52,Approved,Sao Paulo,No,No,Offline
VISA000234,UK,Work,Nigeria,2022-10-21,2022-12-29,69,Rejected,Bengaluru,Yes,Yes,Online
VISA000235,USA,Student,India,2022-10-07,2022-11-22,46,Approved,Manila,Yes,Yes,Online
VISA000236,Australia,Tourist,Brazil,2023-09-02,2023-09-27,25,Approved,Manila,Yes,No,Online
VISA000237,Australia,Work,Brazil,2022-07-17,2022-08-27,41,Approved,Chennai,No,Yes,Online
VISA000238,USA,Visiting,China,2023-05-26,2023-07-26,61,Approved,Beijing,Yes,Yes,Offline
VISA000239,USA,Visiting,Bangladesh,2022-05-24,2022-08-19,87,Rejected,Manila,No,No,Online
VISA000240,UK,Tourist,India,2023-09-01,2023-10-07,36,Approved,Abuja,No,No,Online
VISA000241,UK,Student,China,2022-07-20,2022-08-24,35,Approved,Shanghai,No,Yes,Online
VISA000242,USA,Student,Nigeria,2022-05-04,2022-06-05,32,Approved,Dhaka,Yes,No,Online
VISA000243,UK,Visiting,Bangladesh,2022-07-06,2022-08-05,30,Approved,Mumbai,Yes,No,Online
VISA000244,USA,Student,India,2022-11-22,2023-02-03,73,Rejected,Manila,No,No,Online
VISA000245,Australia,Tourist,Brazil,2023-04-09,2023-06-25,77,Rejected,Sao Paulo,Yes,Yes,Online
VISA000246,Australia,Visiting,India,2022-12-15,2023-02-10,57,Approved,Bengaluru,Yes,Yes,Online
VISA000247,Canada,Work,Brazil,2023-10-22,2023-12-08,47,Approved,Sao Paulo,Yes,No,Online
VISA000248,Australia,Work,Bangladesh,2023-02-07,2023-04-29,81,Rejected,Dhaka,Yes,No,Offline
VISA000249,USA,Student,Brazil,2022-12-12,2023-02-07,57,Approved,Abuja,Yes,Yes,Online
VISA000250,UK,Visiting,Nigeria,2023-05-26,2023-08-05,71,Rejected,Beijing,Yes,Yes,Offline
VISA000251,Canada,Visiting,Philippines,2022-05-27,2022-07-13,47,Approved,Dhaka,Yes,Yes,Offline
VISA000252,UK,Work,Brazil,2022-05-28,2022-07-22,55,Approved,Mumbai,Yes,Yes,Offline
VISA000253,USA,Visiting,Nigeria,2023-12-12,2024-01-17,36,Approved,Shanghai,Yes,Yes,Online
VISA000254,Australia,Visiting,Philippines,2023-05-04,2023-07-07,64,Approved,Manila,Yes,Yes,Online
VISA000255,Canada,Visiting,Bangladesh,2023-10-02,2023-11-28,57,Approved,Beijing,Yes,No,Offline
VISA000256,USA,Student,Bangladesh,2023-07-05,2023-08-15,41,Approved,Beijing,Yes,Yes,Online
VISA000257,Canada,Visiting,India,2022-12-04,2023-01-14,41,Approved,Manila,Yes,No,Online
